,highest_charting_position,number_of_times_charted,streams,artist_followers,popularity,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,duration_ms,valence,chord,contemporary,dance,edm,electropop,hip hop,house,indie,latin,other,pop,rap,reggaeton,rock,trap
1226,180,1,4616034.0,7601122.0,57.0,0.875,0.687,-5.734,0.387,0.236,0.141,109.791,125907.0,0.864,A,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1227,128,3,4593449.0,17792779.0,63.0,0.735,0.787,-4.375,0.16,0.667,0.0721,168.997,203093.0,0.455,G,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1228,156,13,4411998.0,554042.0,77.0,0.815,0.518,-6.594,0.0897,0.223,0.104,151.891,177667.0,0.877,G,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1229,163,5,4394195.0,3828418.0,73.0,0.464,0.547,-8.137,0.339,0.0511,0.155,67.003,221492.0,0.423,G,0,0,0,0,1,0,0,0,1,0,4,0,0,2
1230,101,1,5938996.0,3828418.0,66.0,0.775,0.823,-4.941,0.0635,0.0881,0.309,120.059,174848.0,0.65,F,0,0,0,0,1,0,0,0,1,0,4,0,0,2
1231,127,1,5291167.0,1683006.0,59.0,0.839,0.594,-9.087,0.139,0.249,0.165,76.007,179844.0,0.58,C,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1232,128,1,5290730.0,1045091.0,57.0,0.628,0.712,-4.864,0.156,0.282,0.156,86.627,167827.0,0.45,E,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1233,30,9,4527835.0,17097317.0,70.0,0.483,0.361,-7.889,0.0738,0.832,0.098,171.649,193795.0,0.307,C,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1234,86,5,4383521.0,2384076.0,75.0,0.809,0.911,-4.41,0.0617,0.00795,0.181,122.035,191242.0,0.64,F#/Gb,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1235,152,13,4359727.0,18195884.0,77.0,0.528,0.511,-8.144,0.0324,0.126,0.101,100.1,209880.0,0.351,D#/Eb,0,0,1,1,0,1,0,0,0,3,0,0,0,0
1236,190,2,4324610.0,2203386.0,70.0,0.733,0.389,-8.468,0.0738,0.0513,0.141,157.878,159670.0,0.244,A#/Bb,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1237,194,2,4261965.0,4963516.0,69.0,0.737,0.832,-2.622,0.0798,0.12,0.255,173.986,330240.0,0.865,D,0,0,0,0,0,0,0,1,0,1,0,2,0,1
1238,105,9,4244510.0,4849204.0,41.0,0.922,0.813,-3.268,0.251,0.0198,0.0539,141.087,165726.0,0.724,C#/Db,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1239,192,3,4218201.0,908351.0,73.0,0.534,0.589,-1.865,0.325,0.256,0.176,78.616,209829.0,0.632,C#/Db,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1240,117,8,4176083.0,3991674.0,71.0,0.668,0.892,-3.001,0.0645,0.298,0.735,95.927,159011.0,0.478,F,0,0,0,0,1,0,0,0,1,3,1,0,0,1
1241,15,8,6517807.0,48544923.0,68.0,0.825,0.483,-5.746,0.08,0.538,0.204,139.98,219933.0,0.892,G#/Ab,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1242,46,5,5449099.0,20338833.0,67.0,0.664,0.561,-7.031,0.0495,0.00261,0.0764,150.093,203672.0,0.713,F#/Gb,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1243,103,4,4724056.0,7744095.0,67.0,0.722,0.62,-3.639,0.0483,0.313,0.26,127.978,186786.0,0.474,C,0,0,0,1,0,0,0,0,1,3,0,0,0,0
1244,29,6,4666658.0,36177712.0,72.0,0.882,0.612,-6.103,0.118,0.0475,0.182,147.982,160638.0,0.742,E,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1245,24,3,4553544.0,35340069.0,67.0,0.467,0.608,-7.847,0.0707,0.0909,0.125,80.957,211400.0,0.108,A#/Bb,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1246,191,2,4452819.0,1251372.0,0.0,0.812,0.689,-5.113,0.0619,0.181,0.0784,144.011,129782.0,0.663,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,77,14,4425610.0,7816213.0,69.0,0.882,0.602,-5.554,0.245,0.0177,0.178,142.959,183011.0,0.43,B,0,0,0,0,1,0,0,0,0,0,1,0,0,2
1248,69,2,4305034.0,27167675.0,67.0,0.906,0.474,-6.124,0.194,0.0311,0.286,106.976,194607.0,0.656,C#/Db,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1249,170,10,4284951.0,4421378.0,76.0,0.812,0.519,-4.823,0.0385,0.379,0.13,104.954,165714.0,0.554,D,0,0,0,1,0,0,0,0,0,3,0,0,0,0
1250,70,1,8136247.0,27167675.0,65.0,0.469,0.785,-4.015,0.0664,0.133,0.0931,89.719,209583.0,0.79,F,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1251,71,1,8091754.0,27167675.0,65.0,0.875,0.813,-4.502,0.0579,0.00618,0.321,114.993,184882.0,0.859,G,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1252,92,1,6802068.0,27167675.0,64.0,0.68,0.701,-5.001,0.0917,0.138,0.168,94.06,218754.0,0.649,F,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1253,27,2,6566099.0,35340069.0,66.0,0.504,0.498,-8.24,0.0499,0.131,0.0929,87.221,191307.0,0.196,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1254,21,2,6055294.0,35340069.0,66.0,0.218,0.652,-7.953,0.0641,0.033,0.172,65.375,250053.0,0.0599,E,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1255,118,1,6015914.0,27167675.0,63.0,0.768,0.486,-5.954,0.0353,0.408,0.098,125.021,166266.0,0.519,D#/Eb,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1256,122,1,5995116.0,561372.0,56.0,0.82,0.783,-6.146,0.0621,0.0158,0.0938,130.015,166087.0,0.653,F,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1257,132,1,5878493.0,900975.0,54.0,0.761,0.556,-6.943,0.364,0.138,0.0976,187.81,160357.0,0.521,C#/Db,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1258,28,2,5867746.0,35340069.0,67.0,0.638,0.863,-5.221,0.132,0.052,0.685,120.077,239973.0,0.226,E,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1259,136,1,5791343.0,7744095.0,65.0,0.644,0.768,-4.316,0.0455,0.174,0.469,108.992,220536.0,0.598,F#/Gb,0,0,0,1,0,0,0,0,1,3,0,0,0,0
1260,36,2,5730081.0,35340069.0,67.0,0.375,0.605,-7.268,0.0729,0.612,0.147,175.946,283227.0,0.128,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1261,35,2,5423997.0,35340069.0,66.0,0.55,0.611,-7.475,0.137,0.162,0.121,148.062,247187.0,0.243,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1262,37,2,5307288.0,35340069.0,67.0,0.404,0.524,-8.996,0.0593,0.0456,0.199,145.74,355960.0,0.168,F,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1263,161,1,5119993.0,1700759.0,54.0,0.774,0.588,-8.529,0.225,0.0386,0.258,75.978,147353.0,0.392,C#/Db,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1264,44,5,4946613.0,36177712.0,75.0,0.737,0.766,-4.242,0.0458,0.31,0.114,93.956,196500.0,0.662,A#/Bb,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1265,85,8,4901559.0,2435159.0,70.0,0.886,0.604,-7.293,0.208,0.194,0.107,98.023,305333.0,0.383,C,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1266,187,1,4593343.0,9398941.0,65.0,0.631,0.75,-5.416,0.0394,0.00388,0.286,90.019,200293.0,0.593,F,0,0,0,0,0,0,0,0,2,4,0,0,0,0
1267,188,1,4571612.0,7744095.0,78.0,0.749,0.461,-2.961,0.0416,0.0516,0.0738,139.02,204887.0,0.42,A#/Bb,0,0,0,1,0,0,0,0,1,3,0,0,0,0
1268,51,1,10058303.0,35340069.0,63.0,0.555,0.619,-7.918,0.0314,0.0323,0.0917,95.032,195813.0,0.141,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1269,68,1,9132077.0,35340069.0,63.0,0.245,0.394,-9.887,0.0374,0.423,0.093,115.233,190173.0,0.148,C,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1270,87,1,7564893.0,29067437.0,64.0,0.651,0.561,-5.715,0.25,0.25,0.435,175.992,189827.0,0.369,A,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1271,88,1,7514854.0,29067437.0,65.0,0.849,0.709,-4.717,0.0794,0.229,0.329,93.06,176627.0,0.916,F#/Gb,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1272,103,1,6651425.0,29067437.0,67.0,0.795,0.911,-2.228,0.0875,0.0157,0.131,164.081,182093.0,0.8,C,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1273,134,1,5745393.0,29067437.0,63.0,0.828,0.738,-4.295,0.0516,0.0381,0.0917,94.995,142547.0,0.818,G#/Ab,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1274,15,3,5600261.0,11821805.0,69.0,0.772,0.634,-6.101,0.212,0.135,0.432,160.052,210261.0,0.671,A#/Bb,0,0,0,0,0,0,0,0,0,0,3,0,0,1
